text,language
Hello how are you doing today,English
I am going to the market,English
The weather is very nice today,English
Please submit your assignment by tomorrow,English
Can you help me with this problem,English
I love programming and technology,English
The project deadline is next week,English
Good morning everyone have a great day,English
She is working on a new project,English
We need to finish this before evening,English
The meeting is scheduled for Monday,English
Please review the document carefully,English
I will send you the report soon,English
Thank you for your help and support,English
The application is running smoothly now,English
Kal assignment submit karna hai,Roman Urdu
Aaj bahut thakaan ho gayi hai,Roman Urdu
Yaar kya haal hai tumhara,Roman Urdu
Mujhe pata nahi kya karna chahiye,Roman Urdu
Ghar kab aao ge tum,Roman Urdu
Bahut mushkil kaam hai yeh,Roman Urdu
Theek hai main kal milta hoon,Roman Urdu
Kya tum school ja rahe ho,Roman Urdu
Mera dil nahi lag raha padhai mein,Roman Urdu
Yeh project bahut acha hai,Roman Urdu
Bhai kahan ho tum abhi,Roman Urdu
Aaj chai peeni hai saath mein,Roman Urdu
Kal raat bahut neend nahi aayi,Roman Urdu
Tumhara kaam bahut behtareen hai,Roman Urdu
Main zaroor aaunga kal,Roman Urdu
Kal mujhe assignment submit karni hai deadline hai,Code-Mixed
Yaar yeh project bahut difficult hai,Code-Mixed
Main office ja raha hoon meeting hai,Code-Mixed
Aaj presentation deni hai class mein,Code-Mixed
Bhai please help karo mujhe,Code-Mixed
Yeh problem solve nahi ho rahi,Code-Mixed
Main kal free hoon lets meet,Code-Mixed
Bahut tired hoon aaj rest karna hai,Code-Mixed
Yeh idea bahut creative hai,Code-Mixed
Kya tum available ho tomorrow,Code-Mixed
آج موسم بہت اچھا ہے,Urdu
میں کل آپ سے ملوں گا,Urdu
یہ کام بہت مشکل ہے,Urdu
آپ کا شکریہ بہت مہربانی,Urdu
میرا نام احمد ہے,Urdu
آج بہت خوشی ہوئی,Urdu
یہ کتاب بہت اچھی ہے,Urdu
آج کا دن بہت اچھا تھا,Urdu
آپ کیسے ہیں,Urdu
میں ٹھیک ہوں شکریہ,Urdu
आज मौसम बहुत अच्छा है,Hindi
मुझे कल जाना है,Hindi
यह काम बहुत मुश्किल है,Hindi
आपका धन्यवाद,Hindi
मैं ठीक हूं,Hindi
مرحبا كيف حالك اليوم,Arabic
شكرا جزيلا على مساعدتك,Arabic
أنا بخير والحمد لله,Arabic
Bonjour comment allez vous aujourd hui,French
Je suis tres content de vous voir,French
Merci beaucoup pour votre aide,French
